pos_id,virtual_id,fid,won,pair,dir,signal_key,ssngt,base,quote,time_o,updates,open_price,exit_high_price,exit_low_price,close_price,pl_ratio_s,time_c,profit,duration,touch_high_pip,touch_low_pop,sprd,locked,seq,open,high,low,close,ticks,open_time,duration,pip_hl,pip_co,spreed_min,spreed_max
2,1,224,1,XAUUSD,Long,sky_1,-1.0,10.0,17625.0,2021-10-18 12:36:41,0,1762.5,1768.19,1759.65,1768.27,1.99,2021-10-18 13:28:59,57.69,0:52:18,57.69999,-9.4,0.0,0.0,224,1765.23,1765.6,1762.96,1763.15,300,2021-10-18 12:34:16,0:01:56,26399.999999998727,20799.999999999272,0.0,0.0
3,1,263,1,XAUUSD,Long,sky_1,-0.333,10.0,17641.1,2021-10-18 13:42:57,0,1764.11,1770.79,1760.76,1770.79,1.99,2021-10-18 14:32:33,66.8,0:49:36,66.8,-13.79999,0.0,0.0,263,1766.52,1767.09,1765.27,1766.23,300,2021-10-18 13:40:09,0:01:37,18199.999999999363,2899.999999999636,0.0,0.0
6,1,427,1,XAUUSD,Long,sky_1,-0.506,10.0,17742.9,2021-10-19 05:09:25,0,1774.29,1779.78,1771.54,1779.8,1.99,2021-10-19 07:04:06,55.09,1:54:41,55.09999,-5.79999,0.0,0.0,427,1774.34,1775.22,1774.33,1774.84,300,2021-10-19 04:59:47,0:06:45,8900.000000001,5000.0,0.0,0.0
7,1,467,1,XAUUSD,Long,sky_1,-0.004,10.0,17775.3,2021-10-19 07:19:54,0,1777.53,1781.8,1775.39,1781.83,1.99,2021-10-19 07:41:05,42.99,0:21:11,42.99999,-1.09999,0.0,0.0,467,1777.81,1778.13,1777.63,1777.8,300,2021-10-19 07:17:24,0:02:13,5000.0,99.99999999990905,0.0,0.0
12,1,780,1,XAUUSD,Long,sky_1,-0.737,10.0,17712.9,2021-10-20 02:15:06,0,1771.29,1776.71,1768.57,1776.71,1.99,2021-10-20 05:50:32,54.2,3:35:26,54.2,-17.99999,0.0,0.0,780,1771.22,1771.51,1771.05,1771.28,300,2021-10-20 02:09:17,0:05:14,4600.000000000364,599.9999999994543,0.0,0.0
13,1,831,1,XAUUSD,Long,sky_1,-0.158,10.0,17759.0,2021-10-20 06:50:24,0,1775.9,1779.68,1774.0,1779.69,1.98,2021-10-20 10:28:57,37.89,3:38:33,37.89999,-13.4,0.0,0.0,831,1776.23,1776.9,1775.96,1776.81,300,2021-10-20 06:45:09,0:02:32,9400.000000000546,5799.999999999272,0.0,0.0
14,1,890,1,XAUUSD,Long,sky_1,0.227,10.0,17783.6,2021-10-20 10:40:21,0,1778.36,1781.54,1776.76,1781.64,1.98,2021-10-20 11:08:47,32.8,0:28:26,32.8,-2.79999,0.0,0.0,890,1779.18,1779.21,1778.22,1778.52,300,2021-10-20 10:34:44,0:04:38,9900.000000000091,6600.0000000008185,0.0,0.0
15,1,906,1,XAUUSD,Long,sky_1,0.485,10.0,17787.3,2021-10-20 11:44:28,0,1778.73,1781.97,1777.1,1781.97,1.98,2021-10-20 12:03:21,32.4,0:18:53,32.4,-2.59999,0.0,0.0,906,1780.26,1780.26,1778.7,1779.02,300,2021-10-20 11:39:57,0:02:57,15599.999999999454,12400.000000000091,0.0,0.0
22,1,1518,1,XAUUSD,Long,sky_1,-0.854,10.0,17852.6,2021-10-22 01:40:16,0,1785.26,1788.18,1783.79,1788.25,1.98,2021-10-22 06:25:52,29.9,4:45:36,29.9,-8.59999,0.0,0.0,1518,1785.97,1786.06,1785.69,1785.99,300,2021-10-22 01:35:02,0:03:22,3699.9999999989086,199.9999999998181,0.0,0.0
23,1,1602,1,XAUUSD,Long,sky_1,-0.236,10.0,17917.9,2021-10-22 07:33:00,0,1791.79,1798.13,1788.61,1798.16,1.99,2021-10-22 12:22:30,63.7,4:49:30,63.7,-12.89999,0.0,0.0,1602,1792.57,1792.74,1791.64,1792.27,300,2021-10-22 07:29:10,0:01:42,10999.99999999909,2999.9999999995453,0.0,0.0
